Task	Typ of Try	FT/ST	Begin launch	Num Try	Num CibleA	Num CibleB	Pos CibleA	Pos CibleB	RecA__B	Target Choice	Good Choice	Reward	Num error	 E0	E10	E20	E30	E100	E40	E15	E25	E35	E45	E55	E105	E115	E200	E250	E251	E252	E253	E254	E255
2	Exec_Auto	0	22129112	4	0	1	3	0	1		0	0	251	382568	0	0	0	0	0	533009	533070	533842	534812	542942	0	0	546642	0	543442	0	0	0	0
2	Exec_Auto	0	22129112	4	0	1	3	0	1		0	0	255	382568	0	0	0	0	0	548642	548673	0	0	0	0	0	550253	0	0	0	0	0	548753
2	Exec_Auto	0	22129112	4	0	1	3	0	1		0	0	253	382568	0	0	0	0	0	552253	552310	553082	554263	0	0	0	567463	0	0	0	564263	0	0
2	Exec_Auto	0	22129112	4	0	1	3	0	1		0	0	253	382568	0	0	0	0	0	569464	573386	574158	574876	0	0	0	588076	0	0	0	584876	0	0
2	Exec_Auto	0	22129112	4	0	1	3	0	1	A	1	0	0	382568	0	0	0	0	0	590076	590141	590913	591589	592280	592780	0	593021	0	0	0	0	0	0
2	Exec_Auto	0	22129112	5	0	1	1	2	1	A	1	0	252	382568	0	0	0	0	0	595021	595091	596210	596664	597080	0	0	600480	0	0	597280	0	0	0
2	Exec_Auto	0	22129112	5	0	1	1	2	1	B	0	0	0	382568	0	0	0	0	0	602482	602538	603657	604226	605115	0	605615	605856	0	0	0	0	0	0
2	Exec_Auto	0	22129112	6	0	1	0	2	1	B	0	0	0	382568	0	0	0	0	0	607856	607927	609406	609901	610949	0	611449	611690	0	0	0	0	0	0
2	Exec_Auto	0	22129112	7	1	0	2	3	0	B	1	1	0	382568	0	0	0	0	0	613691	613752	614673	615201	621687	622187	0	622427	0	0	0	0	0	0
2	Exec_Auto	0	22129112	8	1	0	3	2	0	B	1	1	0	382568	0	0	0	0	0	624427	624472	625693	626201	626857	627357	0	627598	0	0	0	0	0	0
2	Exec_Auto	0	22129112	9	1	0	3	0	0	B	1	0	252	382568	0	0	0	0	0	629599	629651	630190	630776	631227	0	0	634451	0	0	631251	0	0	0
2	Exec_Auto	0	22129112	9	1	0	3	0	0	B	1	0	252	382568	0	0	0	0	0	636452	636529	637068	637528	638049	0	0	641558	0	0	638358	0	0	0
2	Exec_Auto	0	22129112	9	1	0	3	0	0	B	1	0	252	382568	0	0	0	0	0	643558	643613	644152	644812	645213	0	0	648901	0	0	645701	0	0	0
2	Exec_Auto	0	22129112	9	1	0	3	0	0	B	1	1	0	382568	0	0	0	0	0	650901	650924	651463	651954	652311	652811	0	653052	0	0	0	0	0	0
2	Exec_Auto	1	22129112	10	1	0	2	1	0	A	0	0	0	382568	0	0	0	0	0	655053	655079	656487	657064	659471	0	659971	660211	0	0	0	0	0	0
2	Exec_Auto	1	22129112	11	0	1	3	1	0	A	0	0	252	382568	0	0	0	0	0	662212	662261	663285	664062	664273	0	0	667510	0	0	664310	0	0	0
2	Exec_Auto	1	22129112	11	0	1	3	1	0	A	0	0	252	382568	0	0	0	0	0	669511	669544	670568	671301	672819	0	0	676211	0	0	673011	0	0	0
2	Exec_Auto	1	22129112	11	0	1	3	1	0	A	0	0	252	382568	0	0	0	0	0	678212	678281	679305	680095	681118	0	0	684331	0	0	681131	0	0	0
2	Exec_Auto	1	22129112	11	0	1	3	1	0	B	1	0	0	382568	0	0	0	0	0	686332	686394	687418	688102	688441	688941	0	689181	0	0	0	0	0	0
2	Exec_Auto	1	22129112	12	0	1	3	2	0	B	1	0	252	382568	0	0	0	0	0	691181	691219	691889	692456	693981	0	0	697340	0	0	694140	0	0	0
2	Exec_Auto	1	22129112	12	0	1	3	2	0	B	1	0	252	382568	0	0	0	0	0	699341	699399	700069	700563	701728	0	0	705201	0	0	702001	0	0	0
2	Exec_Auto	1	22129112	12	0	1	3	2	0	B	1	0	252	382568	0	0	0	0	0	707201	707246	707916	708436	708919	0	0	712275	0	0	709075	0	0	0
2	Exec_Auto	1	22129112	12	0	1	3	2	0	B	1	0	252	382568	0	0	0	0	0	714276	714353	715023	715630	716105	0	0	719666	0	0	716466	0	0	0
2	Exec_Auto	1	22129112	12	0	1	3	2	0	B	1	0	252	382568	0	0	0	0	0	721667	721710	722380	723011	723635	0	0	726853	0	0	723653	0	0	0
2	Exec_Auto	1	22129112	12	0	1	3	2	0	B	1	0	0	382568	0	0	0	0	0	728854	728928	729598	730331	731209	731709	0	731950	0	0	0	0	0	0
2	Exec_Auto	1	22129112	13	1	0	2	3	0	A	0	1	0	382568	0	0	0	0	0	733951	734007	734645	735326	735955	0	736455	736696	0	0	0	0	0	0
2	Exec_Auto	1	22129112	14	0	1	0	3	0	B	1	0	252	382568	0	0	0	0	0	738696	738767	739539	740288	741247	0	0	744658	0	0	741458	0	0	0
2	Exec_Auto	1	22129112	14	0	1	0	3	0	B	1	0	252	382568	0	0	0	0	0	746659	746706	747478	748088	748692	0	0	752092	0	0	748892	0	0	0
2	Exec_Auto	1	22129112	14	0	1	0	3	0		1	0	255	382568	0	0	0	0	0	754092	755670	0	0	0	0	0	757470	0	0	0	0	0	755970
2	Exec_Auto	1	22129112	14	0	1	0	3	0	B	1	0	252	382568	0	0	0	0	0	759471	759522	760294	760972	761336	0	0	764914	0	0	761714	0	0	0
2	Exec_Auto	1	22129112	14	0	1	0	3	0	A	0	0	252	382568	0	0	0	0	0	766915	767006	767778	768602	768823	0	0	772043	0	0	768843	0	0	0
2	Exec_Auto	1	22129112	14	0	1	0	3	0	A	0	0	252	382568	0	0	0	0	0	774044	774116	774888	775462	775749	0	0	779338	0	0	776138	0	0	0
2	Exec_Auto	1	22129112	14	0	1	0	3	0	A	0	0	0	382568	0	0	0	0	0	781338	781639	782411	783039	783203	0	783703	783943	0	0	0	0	0	0
2	Exec_Auto	1	22129112	15	0	1	2	3	0		0	0	255	382568	0	0	0	0	0	785945	786011	0	0	0	0	0	787792	0	0	0	0	0	786292
2	Exec_Auto	1	22129112	15	0	1	2	3	0	A	0	0	252	382568	0	0	0	0	0	789793	789866	790985	791482	793287	0	0	796951	0	0	793751	0	0	0
2	Exec_Auto	1	22129112	15	0	1	2	3	0	A	0	1	0	382568	0	0	0	0	0	798951	799022	800141	800599	801312	0	801812	802052	0	0	0	0	0	0
2	Exec_Auto	1	22129112	16	1	0	2	0	0	A	0	0	0	382568	0	0	0	0	0	804053	804075	805554	806056	807596	0	808096	808337	0	0	0	0	0	0
2	Exec_Auto	1	22129112	17	0	1	0	1	0		0	0	255	382568	0	0	0	0	0	810338	811064	0	0	0	0	0	812613	0	0	0	0	0	811113
2	Exec_Auto	1	22129112	17	0	1	0	1	0	B	1	0	0	382568	0	0	0	0	0	814614	814677	815598	816212	816388	816888	0	817129	0	0	0	0	0	0
2	Exec_Auto	1	22129112	18	0	1	0	1	0	B	1	0	252	382568	0	0	0	0	0	819130	819533	820754	821253	821493	0	0	824986	0	0	821786	0	0	0
2	Exec_Auto	1	22129112	18	0	1	0	1	0	B	1	1	0	382568	0	0	0	0	0	826986	827739	828960	829550	829781	830281	0	830522	0	0	0	0	0	0
2	Exec_Auto	1	22129112	19	0	1	2	1	0	A	0	0	252	382568	0	0	0	0	0	832522	846023	846562	846689	847187	0	0	850445	0	0	847245	0	0	0
2	Exec_Auto	1	22129112	19	0	1	2	1	0	A	0	1	0	382568	0	0	0	0	0	852445	852512	853051	853519	854139	0	854639	854879	0	0	0	0	0	0
2	Exec_Auto	0	22129112	0	0	1	0	2	1	A	1	1	0	856883	0	0	0	0	0	856903	856988	857734	858243	859177	859677	0	859918	0	0	0	0	0	0
2	Exec_Auto	0	22129112	1	0	1	0	1	1	A	1	0	252	856883	0	0	0	0	0	861919	861964	862506	862975	863260	0	0	866719	0	0	863519	0	0	0
2	Exec_Auto	0	22129112	1	0	1	0	1	1	A	1	0	0	856883	0	0	0	0	0	868719	868798	869340	869752	869957	870457	0	870697	0	0	0	0	0	0
2	Exec_Auto	0	22129112	2	1	0	3	1	0	B	1	1	0	856883	0	0	0	0	0	872698	872747	873693	874312	874517	875017	0	875257	0	0	0	0	0	0
2	Exec_Auto	0	22129112	3	0	1	1	0	1	A	1	1	0	856883	0	0	0	0	0	877258	877315	878789	879264	879430	879930	0	880170	0	0	0	0	0	0
2	Exec_Auto	0	22129112	4	1	0	3	1	0	B	1	1	0	856883	0	0	0	0	0	882170	882233	883185	883703	884050	884550	0	884791	0	0	0	0	0	0
2	Exec_Auto	0	22129112	5	1	0	0	3	0	B	1	1	0	856883	0	0	0	0	0	886791	886868	887375	887948	888612	889112	0	889352	0	0	0	0	0	0
2	Exec_Auto	0	22129112	6	0	1	2	3	1	A	1	0	252	856883	0	0	0	0	0	891352	891373	892508	893024	893294	0	0	896597	0	0	893397	0	0	0
2	Exec_Auto	0	22129112	6	0	1	2	3	1	A	1	1	0	856883	0	0	0	0	0	898597	898675	899810	900315	900771	901271	0	901512	0	0	0	0	0	0
2	Exec_Auto	0	22129112	7	1	0	0	3	0	B	1	0	252	856883	0	0	0	0	0	903512	903571	904991	905715	906226	0	0	909879	0	0	906679	0	0	0
2	Exec_Auto	0	22129112	7	1	0	0	3	0		1	0	255	856883	0	0	0	0	0	911880	911935	0	0	0	0	0	913512	0	0	0	0	0	912012
2	Exec_Auto	0	22129112	7	1	0	0	3	0	B	1	0	252	856883	0	0	0	0	0	915513	915579	916999	917498	918066	0	0	921559	0	0	918359	0	0	0
2	Exec_Auto	0	22129112	7	1	0	0	3	0		1	0	255	856883	0	0	0	0	0	923559	924295	0	0	0	0	0	925951	0	0	0	0	0	924451
2	Exec_Auto	0	22129112	7	1	0	0	3	0	B	1	1	0	856883	0	0	0	0	0	927953	927981	929401	929969	930292	930792	0	931033	0	0	0	0	0	0
2	Exec_Auto	0	22129112	8	0	1	0	3	1	A	1	1	0	856883	0	0	0	0	0	933034	933189	934468	934990	935213	935713	0	935954	0	0	0	0	0	0
2	Exec_Auto	0	22129112	9	0	1	0	3	1	A	1	1	0	856883	0	0	0	0	0	937955	938032	938788	939475	939646	940146	0	940386	0	0	0	0	0	0
